DC,POD,Cluster,Type,No.,Hostnameÿ,Interfaceÿ,VLANÿ,v4 Base,IPv4ÿ,Cntr,v6 Base,IPv6,Descriptionÿ,,IPv4,DNS A Records,IPv6,DNS AAAA Records,For DNS Tickets,"For Terraforms (copy to Word Pad first, then copy from there to .tfvars file)",
,,,,,,,341,47.3.5.,41,41,2600:6c7f:91c0:40:1::,29,,,,,,,,,
,,,,,,,341,47.3.5.,42,42,2600:6c7f:91c0:40:1::,2A,,,,,,,,,
,,,,,,,341,47.3.5.,43,43,2600:6c7f:91c0:40:1::,2B,,,,,,,,,
,,,,,,,341,47.3.5.,44,44,2600:6c7f:91c0:40:1::,2C,,,,,,,,,
,,,,,,,341,47.3.5.,45,45,2600:6c7f:91c0:40:1::,2D,,,,,,,,,
,,,,,,,341,47.3.5.,46,46,2600:6c7f:91c0:40:1::,2E,,,,,,,,,
,,,,,,,341,47.3.5.,47,47,2600:6c7f:91c0:40:1::,2F,,,,,,,,,
,,,,,,,341,47.3.5.,48,48,2600:6c7f:91c0:40:1::,30,,,,,,,,,
,,,,,,,341,47.3.5.,49,49,2600:6c7f:91c0:40:1::,31,,,,,,,,,
,,,,,,,341,47.3.5.,50,50,2600:6c7f:91c0:40:1::,32,,,,,,,,,
,,,,,,,341,47.3.5.,51,51,2600:6c7f:91c0:40:1::,33,,,,,,,,,
,,,,,,,341,47.3.5.,52,52,2600:6c7f:91c0:40:1::,34,,,,,,,,,
,,,,,,,341,47.3.5.,53,53,2600:6c7f:91c0:40:1::,35,,,,,,,,,
,,,,,,,341,47.3.5.,54,54,2600:6c7f:91c0:40:1::,36,,,,,,,,,
,,,,,,,341,47.3.5.,55,55,2600:6c7f:91c0:40:1::,37,,,,,,,,,
,,,,,,,341,47.3.5.,56,56,2600:6c7f:91c0:40:1::,38,,,,,,,,,
,,,,,,,341,47.3.5.,57,57,2600:6c7f:91c0:40:1::,39,,,,,,,,,
,,,,,,,341,47.3.5.,58,58,2600:6c7f:91c0:40:1::,3A,,,,,,,,,
,,,,,,,341,47.3.5.,59,59,2600:6c7f:91c0:40:1::,3B,,,,,,,,,
,,,,,,,341,47.3.5.,60,60,2600:6c7f:91c0:40:1::,3C,,,,,,,,,
,,,,,,,341,47.3.5.,61,61,2600:6c7f:91c0:40:1::,3D,,,,,,,,,
,,,,,,,341,47.3.5.,62,62,2600:6c7f:91c0:40:1::,3E,,,,,,,,,
,,,,,Broadcast,,341,47.3.5.,63,,2600:6c7f:91c0:40:1::,ffff:ffff:ffff,Broadcast,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,"IPv4 Network: 47.3.3.0/24
MASK: 255.255.255.0
IPv6 Network: 2600:6c7f:91c0:40:2::/80",,342,47.3.3.,0,,2600:6c7f:91c0:40:2::,,"POD 1, JITP, Read Accessor",,,,,,,,
,,,,,VRRP IP,,342,47.3.3.,1,1,2600:6c7f:91c0:40:2::,1,Gateway,,,,,,,,
,,,,,dcr41chdcnc,,342,47.3.3.,2,2,2600:6c7f:91c0:40:2::,2,,,,,,,,,
,,,,,dcr42chdcnc,,342,47.3.3.,3,3,2600:6c7f:91c0:40:2::,3,,,,,,,,,
ladcca,1,0,ch-gec,1,ladcca-ch-gec-1001,eth0,342,47.3.3.,4,4,2600:6c7f:91c0:40:2::,4,POD 1 eCDN,,47.3.3.4,ladcca-ch-gec-1001.ladc.ca.charter.com,2600:6c7f:91c0:40:2::4,ladcca-ch-gec-1001.ladc.ca.charter.com,"add|a|47.3.3.4|ladcca-ch-gec-1001.ladc.ca.charter.com|3600
add|ptr|47.3.3.4|ladcca-ch-gec-1001.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::4|ladcca-ch-gec-1001.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::4|ladcca-ch-gec-1001.ladc.ca.charter.com|3600","  {
    vm_name = ""ladcca-ch-gec-1001"",

    ip_addr = ""47.3.3.4"",
    ip_addr2 = """",
    ip_addr3 = """",
    
    ip6_addr = ""2600:6c7f:91c0:40:2::4"",
    ip6_addr2 = """",

    ""chef-attributes_json"" = <<-EOF
      {
        ""chtr_gemini"": {
          ""node_idx"": ""1""
        }
      }  
    EOF
  },",
ladcca,1,0,ch-gec,2,ladcca-ch-gec-1002,eth0,342,47.3.3.,5,5,2600:6c7f:91c0:40:2::,5,POD 1 eCDN,,47.3.3.5,ladcca-ch-gec-1002.ladc.ca.charter.com,2600:6c7f:91c0:40:2::5,ladcca-ch-gec-1002.ladc.ca.charter.com,"add|a|47.3.3.5|ladcca-ch-gec-1002.ladc.ca.charter.com|3600
add|ptr|47.3.3.5|ladcca-ch-gec-1002.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::5|ladcca-ch-gec-1002.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::5|ladcca-ch-gec-1002.ladc.ca.charter.com|3600","  {
    vm_name = ""ladcca-ch-gec-1002"",

    ip_addr = ""47.3.3.5"",
    ip_addr2 = """",
    ip_addr3 = """",
    
    ip6_addr = ""2600:6c7f:91c0:40:2::5"",
    ip6_addr2 = """",

    ""chef-attributes_json"" = <<-EOF
      {
        ""chtr_gemini"": {
          ""node_idx"": ""1""
        }
      }  
    EOF
  },",
ladcca,1,0,ch-gec,3,ladcca-ch-gec-1003,eth0,342,47.3.3.,6,6,2600:6c7f:91c0:40:2::,6,POD 1 eCDN,,47.3.3.6,ladcca-ch-gec-1003.ladc.ca.charter.com,2600:6c7f:91c0:40:2::6,ladcca-ch-gec-1003.ladc.ca.charter.com,"add|a|47.3.3.6|ladcca-ch-gec-1003.ladc.ca.charter.com|3600
add|ptr|47.3.3.6|ladcca-ch-gec-1003.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::6|ladcca-ch-gec-1003.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::6|ladcca-ch-gec-1003.ladc.ca.charter.com|3600","  {
    vm_name = ""ladcca-ch-gec-1003"",

    ip_addr = ""47.3.3.6"",
    ip_addr2 = """",
    ip_addr3 = """",
    
    ip6_addr = ""2600:6c7f:91c0:40:2::6"",
    ip6_addr2 = """",

    ""chef-attributes_json"" = <<-EOF
      {
        ""chtr_gemini"": {
          ""node_idx"": ""1""
        }
      }  
    EOF
  },",
ladcca,1,0,ch-gec,4,ladcca-ch-gec-1004,eth0,342,47.3.3.,7,7,2600:6c7f:91c0:40:2::,7,POD 1 eCDN,,47.3.3.7,ladcca-ch-gec-1004.ladc.ca.charter.com,2600:6c7f:91c0:40:2::7,ladcca-ch-gec-1004.ladc.ca.charter.com,"add|a|47.3.3.7|ladcca-ch-gec-1004.ladc.ca.charter.com|3600
add|ptr|47.3.3.7|ladcca-ch-gec-1004.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::7|ladcca-ch-gec-1004.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::7|ladcca-ch-gec-1004.ladc.ca.charter.com|3600","  {
    vm_name = ""ladcca-ch-gec-1004"",

    ip_addr = ""47.3.3.7"",
    ip_addr2 = """",
    ip_addr3 = """",
    
    ip6_addr = ""2600:6c7f:91c0:40:2::7"",
    ip6_addr2 = """",

    ""chef-attributes_json"" = <<-EOF
      {
        ""chtr_gemini"": {
          ""node_idx"": ""1""
        }
      }  
    EOF
  },",
ladcca,1,0,ch-gec,5,ladcca-ch-gec-1005,eth0,342,47.3.3.,8,8,2600:6c7f:91c0:40:2::,8,POD 1 eCDN,,47.3.3.8,ladcca-ch-gec-1005.ladc.ca.charter.com,2600:6c7f:91c0:40:2::8,ladcca-ch-gec-1005.ladc.ca.charter.com,"add|a|47.3.3.8|ladcca-ch-gec-1005.ladc.ca.charter.com|3600
add|ptr|47.3.3.8|ladcca-ch-gec-1005.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::8|ladcca-ch-gec-1005.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::8|ladcca-ch-gec-1005.ladc.ca.charter.com|3600","  {
    vm_name = ""ladcca-ch-gec-1005"",

    ip_addr = ""47.3.3.8"",
    ip_addr2 = """",
    ip_addr3 = """",
    
    ip6_addr = ""2600:6c7f:91c0:40:2::8"",
    ip6_addr2 = """",

    ""chef-attributes_json"" = <<-EOF
      {
        ""chtr_gemini"": {
          ""node_idx"": ""1""
        }
      }  
    EOF
  },",
ladcca,1,0,ch-gec,6,ladcca-ch-gec-1006,eth0,342,47.3.3.,9,9,2600:6c7f:91c0:40:2::,9,POD 1 eCDN,,47.3.3.9,ladcca-ch-gec-1006.ladc.ca.charter.com,2600:6c7f:91c0:40:2::9,ladcca-ch-gec-1006.ladc.ca.charter.com,"add|a|47.3.3.9|ladcca-ch-gec-1006.ladc.ca.charter.com|3600
add|ptr|47.3.3.9|ladcca-ch-gec-1006.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::9|ladcca-ch-gec-1006.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::9|ladcca-ch-gec-1006.ladc.ca.charter.com|3600","  {
    vm_name = ""ladcca-ch-gec-1006"",

    ip_addr = ""47.3.3.9"",
    ip_addr2 = """",
    ip_addr3 = """",
    
    ip6_addr = ""2600:6c7f:91c0:40:2::9"",
    ip6_addr2 = """",

    ""chef-attributes_json"" = <<-EOF
      {
        ""chtr_gemini"": {
          ""node_idx"": ""1""
        }
      }  
    EOF
  },",
ladcca,1,0,ch-gec,7,ladcca-ch-gec-1007,eth0,342,47.3.3.,10,10,2600:6c7f:91c0:40:2::,A,POD 1 eCDN,,47.3.3.10,ladcca-ch-gec-1007.ladc.ca.charter.com,2600:6c7f:91c0:40:2::A,ladcca-ch-gec-1007.ladc.ca.charter.com,"add|a|47.3.3.10|ladcca-ch-gec-1007.ladc.ca.charter.com|3600
add|ptr|47.3.3.10|ladcca-ch-gec-1007.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::A|ladcca-ch-gec-1007.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::A|ladcca-ch-gec-1007.ladc.ca.charter.com|3600","  {
    vm_name = ""ladcca-ch-gec-1007"",

    ip_addr = ""47.3.3.10"",
    ip_addr2 = """",
    ip_addr3 = """",
    
    ip6_addr = ""2600:6c7f:91c0:40:2::A"",
    ip6_addr2 = """",

    ""chef-attributes_json"" = <<-EOF
      {
        ""chtr_gemini"": {
          ""node_idx"": ""1""
        }
      }  
    EOF
  },",
ladcca,1,0,ch-gec,8,ladcca-ch-gec-1008,eth0,342,47.3.3.,11,11,2600:6c7f:91c0:40:2::,B,POD 1 eCDN,,47.3.3.11,ladcca-ch-gec-1008.ladc.ca.charter.com,2600:6c7f:91c0:40:2::B,ladcca-ch-gec-1008.ladc.ca.charter.com,"add|a|47.3.3.11|ladcca-ch-gec-1008.ladc.ca.charter.com|3600
add|ptr|47.3.3.11|ladcca-ch-gec-1008.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::B|ladcca-ch-gec-1008.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::B|ladcca-ch-gec-1008.ladc.ca.charter.com|3600","  {
    vm_name = ""ladcca-ch-gec-1008"",

    ip_addr = ""47.3.3.11"",
    ip_addr2 = """",
    ip_addr3 = """",
    
    ip6_addr = ""2600:6c7f:91c0:40:2::B"",
    ip6_addr2 = """",

    ""chef-attributes_json"" = <<-EOF
      {
        ""chtr_gemini"": {
          ""node_idx"": ""1""
        }
      }  
    EOF
  },",
ladcca,1,0,ch-gec,9,ladcca-ch-gec-1009,eth0,342,47.3.3.,12,12,2600:6c7f:91c0:40:2::,C,POD 1 eCDN,,47.3.3.12,ladcca-ch-gec-1009.ladc.ca.charter.com,2600:6c7f:91c0:40:2::C,ladcca-ch-gec-1009.ladc.ca.charter.com,"add|a|47.3.3.12|ladcca-ch-gec-1009.ladc.ca.charter.com|3600
add|ptr|47.3.3.12|ladcca-ch-gec-1009.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::C|ladcca-ch-gec-1009.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::C|ladcca-ch-gec-1009.ladc.ca.charter.com|3600","  {
    vm_name = ""ladcca-ch-gec-1009"",

    ip_addr = ""47.3.3.12"",
    ip_addr2 = """",
    ip_addr3 = """",
    
    ip6_addr = ""2600:6c7f:91c0:40:2::C"",
    ip6_addr2 = """",

    ""chef-attributes_json"" = <<-EOF
      {
        ""chtr_gemini"": {
          ""node_idx"": ""1""
        }
      }  
    EOF
  },",
ladcca,1,0,ch-gec,10,ladcca-ch-gec-1010,eth0,342,47.3.3.,13,13,2600:6c7f:91c0:40:2::,D,POD 1 eCDN,,47.3.3.13,ladcca-ch-gec-1010.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D,ladcca-ch-gec-1010.ladc.ca.charter.com,"add|a|47.3.3.13|ladcca-ch-gec-1010.ladc.ca.charter.com|3600
add|ptr|47.3.3.13|ladcca-ch-gec-1010.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D|ladcca-ch-gec-1010.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D|ladcca-ch-gec-1010.ladc.ca.charter.com|3600","  {
    vm_name = ""ladcca-ch-gec-1010"",

    ip_addr = ""47.3.3.13"",
    ip_addr2 = """",
    ip_addr3 = """",
    
    ip6_addr = ""2600:6c7f:91c0:40:2::D"",
    ip6_addr2 = """",

    ""chef-attributes_json"" = <<-EOF
      {
        ""chtr_gemini"": {
          ""node_idx"": ""1""
        }
      }  
    EOF
  },",
ladcca,1,0,ch-gec,11,ladcca-ch-gec-1011,eth0,342,47.3.3.,14,14,2600:6c7f:91c0:40:2::,E,POD 1 eCDN,,47.3.3.14,ladcca-ch-gec-1011.ladc.ca.charter.com,2600:6c7f:91c0:40:2::E,ladcca-ch-gec-1011.ladc.ca.charter.com,"add|a|47.3.3.14|ladcca-ch-gec-1011.ladc.ca.charter.com|3600
add|ptr|47.3.3.14|ladcca-ch-gec-1011.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::E|ladcca-ch-gec-1011.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::E|ladcca-ch-gec-1011.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.14"", ip6_addr = ""2600:6c7f:91c0:40:2::E""
    vm_name = ""ladcca-ch-gec-1011""
  },","      ""47.3.3.14"","
ladcca,1,0,ch-gec,12,ladcca-ch-gec-1012,eth0,342,47.3.3.,15,15,2600:6c7f:91c0:40:2::,F,POD 1 eCDN,,47.3.3.15,ladcca-ch-gec-1012.ladc.ca.charter.com,2600:6c7f:91c0:40:2::F,ladcca-ch-gec-1012.ladc.ca.charter.com,"add|a|47.3.3.15|ladcca-ch-gec-1012.ladc.ca.charter.com|3600
add|ptr|47.3.3.15|ladcca-ch-gec-1012.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::F|ladcca-ch-gec-1012.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::F|ladcca-ch-gec-1012.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.15"", ip6_addr = ""2600:6c7f:91c0:40:2::F""
    vm_name = ""ladcca-ch-gec-1012""
  },","      ""47.3.3.15"","
ladcca,1,0,ch-gec,13,ladcca-ch-gec-1013,eth0,342,47.3.3.,16,16,2600:6c7f:91c0:40:2::,10,POD 1 eCDN,,47.3.3.16,ladcca-ch-gec-1013.ladc.ca.charter.com,2600:6c7f:91c0:40:2::10,ladcca-ch-gec-1013.ladc.ca.charter.com,"add|a|47.3.3.16|ladcca-ch-gec-1013.ladc.ca.charter.com|3600
add|ptr|47.3.3.16|ladcca-ch-gec-1013.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::10|ladcca-ch-gec-1013.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::10|ladcca-ch-gec-1013.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.16"", ip6_addr = ""2600:6c7f:91c0:40:2::10""
    vm_name = ""ladcca-ch-gec-1013""
  },","      ""47.3.3.16"","
ladcca,1,0,ch-gec,14,ladcca-ch-gec-1014,eth0,342,47.3.3.,17,17,2600:6c7f:91c0:40:2::,11,POD 1 eCDN,,47.3.3.17,ladcca-ch-gec-1014.ladc.ca.charter.com,2600:6c7f:91c0:40:2::11,ladcca-ch-gec-1014.ladc.ca.charter.com,"add|a|47.3.3.17|ladcca-ch-gec-1014.ladc.ca.charter.com|3600
add|ptr|47.3.3.17|ladcca-ch-gec-1014.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::11|ladcca-ch-gec-1014.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::11|ladcca-ch-gec-1014.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.17"", ip6_addr = ""2600:6c7f:91c0:40:2::11""
    vm_name = ""ladcca-ch-gec-1014""
  },","      ""47.3.3.17"","
ladcca,1,0,ch-gec,15,ladcca-ch-gec-1015,eth0,342,47.3.3.,18,18,2600:6c7f:91c0:40:2::,12,POD 1 eCDN,,47.3.3.18,ladcca-ch-gec-1015.ladc.ca.charter.com,2600:6c7f:91c0:40:2::12,ladcca-ch-gec-1015.ladc.ca.charter.com,"add|a|47.3.3.18|ladcca-ch-gec-1015.ladc.ca.charter.com|3600
add|ptr|47.3.3.18|ladcca-ch-gec-1015.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::12|ladcca-ch-gec-1015.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::12|ladcca-ch-gec-1015.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.18"", ip6_addr = ""2600:6c7f:91c0:40:2::12""
    vm_name = ""ladcca-ch-gec-1015""
  },","      ""47.3.3.18"","
ladcca,1,0,ch-gec,16,ladcca-ch-gec-1016,eth0,342,47.3.3.,19,19,2600:6c7f:91c0:40:2::,13,POD 1 eCDN,,47.3.3.19,ladcca-ch-gec-1016.ladc.ca.charter.com,2600:6c7f:91c0:40:2::13,ladcca-ch-gec-1016.ladc.ca.charter.com,"add|a|47.3.3.19|ladcca-ch-gec-1016.ladc.ca.charter.com|3600
add|ptr|47.3.3.19|ladcca-ch-gec-1016.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::13|ladcca-ch-gec-1016.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::13|ladcca-ch-gec-1016.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.19"", ip6_addr = ""2600:6c7f:91c0:40:2::13""
    vm_name = ""ladcca-ch-gec-1016""
  },","      ""47.3.3.19"","
ladcca,1,0,ch-gec,17,ladcca-ch-gec-1017,eth0,342,47.3.3.,20,20,2600:6c7f:91c0:40:2::,14,POD 1 eCDN,,47.3.3.20,ladcca-ch-gec-1017.ladc.ca.charter.com,2600:6c7f:91c0:40:2::14,ladcca-ch-gec-1017.ladc.ca.charter.com,"add|a|47.3.3.20|ladcca-ch-gec-1017.ladc.ca.charter.com|3600
add|ptr|47.3.3.20|ladcca-ch-gec-1017.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::14|ladcca-ch-gec-1017.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::14|ladcca-ch-gec-1017.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.20"", ip6_addr = ""2600:6c7f:91c0:40:2::14""
    vm_name = ""ladcca-ch-gec-1017""
  },","      ""47.3.3.20"","
ladcca,1,0,ch-gec,18,ladcca-ch-gec-1018,eth0,342,47.3.3.,21,21,2600:6c7f:91c0:40:2::,15,POD 1 eCDN,,47.3.3.21,ladcca-ch-gec-1018.ladc.ca.charter.com,2600:6c7f:91c0:40:2::15,ladcca-ch-gec-1018.ladc.ca.charter.com,"add|a|47.3.3.21|ladcca-ch-gec-1018.ladc.ca.charter.com|3600
add|ptr|47.3.3.21|ladcca-ch-gec-1018.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::15|ladcca-ch-gec-1018.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::15|ladcca-ch-gec-1018.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.21"", ip6_addr = ""2600:6c7f:91c0:40:2::15""
    vm_name = ""ladcca-ch-gec-1018""
  },","      ""47.3.3.21"","
ladcca,1,0,ch-gec,19,ladcca-ch-gec-1019,eth0,342,47.3.3.,22,22,2600:6c7f:91c0:40:2::,16,POD 1 eCDN,,47.3.3.22,ladcca-ch-gec-1019.ladc.ca.charter.com,2600:6c7f:91c0:40:2::16,ladcca-ch-gec-1019.ladc.ca.charter.com,"add|a|47.3.3.22|ladcca-ch-gec-1019.ladc.ca.charter.com|3600
add|ptr|47.3.3.22|ladcca-ch-gec-1019.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::16|ladcca-ch-gec-1019.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::16|ladcca-ch-gec-1019.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.22"", ip6_addr = ""2600:6c7f:91c0:40:2::16""
    vm_name = ""ladcca-ch-gec-1019""
  },","      ""47.3.3.22"","
ladcca,1,0,ch-gec,20,ladcca-ch-gec-1020,eth0,342,47.3.3.,23,23,2600:6c7f:91c0:40:2::,17,POD 1 eCDN,,47.3.3.23,ladcca-ch-gec-1020.ladc.ca.charter.com,2600:6c7f:91c0:40:2::17,ladcca-ch-gec-1020.ladc.ca.charter.com,"add|a|47.3.3.23|ladcca-ch-gec-1020.ladc.ca.charter.com|3600
add|ptr|47.3.3.23|ladcca-ch-gec-1020.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::17|ladcca-ch-gec-1020.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::17|ladcca-ch-gec-1020.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.23"", ip6_addr = ""2600:6c7f:91c0:40:2::17""
    vm_name = ""ladcca-ch-gec-1020""
  },","      ""47.3.3.23"","
ladcca,1,0,ch-gec,21,ladcca-ch-gec-1021,eth0,342,47.3.3.,24,24,2600:6c7f:91c0:40:2::,18,POD 1 eCDN,,47.3.3.24,ladcca-ch-gec-1021.ladc.ca.charter.com,2600:6c7f:91c0:40:2::18,ladcca-ch-gec-1021.ladc.ca.charter.com,"add|a|47.3.3.24|ladcca-ch-gec-1021.ladc.ca.charter.com|3600
add|ptr|47.3.3.24|ladcca-ch-gec-1021.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::18|ladcca-ch-gec-1021.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::18|ladcca-ch-gec-1021.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.24"", ip6_addr = ""2600:6c7f:91c0:40:2::18""
    vm_name = ""ladcca-ch-gec-1021""
  },","      ""47.3.3.24"","
ladcca,1,0,ch-gec,22,ladcca-ch-gec-1022,eth0,342,47.3.3.,25,25,2600:6c7f:91c0:40:2::,19,POD 1 eCDN,,47.3.3.25,ladcca-ch-gec-1022.ladc.ca.charter.com,2600:6c7f:91c0:40:2::19,ladcca-ch-gec-1022.ladc.ca.charter.com,"add|a|47.3.3.25|ladcca-ch-gec-1022.ladc.ca.charter.com|3600
add|ptr|47.3.3.25|ladcca-ch-gec-1022.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::19|ladcca-ch-gec-1022.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::19|ladcca-ch-gec-1022.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.25"", ip6_addr = ""2600:6c7f:91c0:40:2::19""
    vm_name = ""ladcca-ch-gec-1022""
  },","      ""47.3.3.25"","
ladcca,1,0,ch-gec,23,ladcca-ch-gec-1023,eth0,342,47.3.3.,26,26,2600:6c7f:91c0:40:2::,1A,POD 1 eCDN,,47.3.3.26,ladcca-ch-gec-1023.ladc.ca.charter.com,2600:6c7f:91c0:40:2::1A,ladcca-ch-gec-1023.ladc.ca.charter.com,"add|a|47.3.3.26|ladcca-ch-gec-1023.ladc.ca.charter.com|3600
add|ptr|47.3.3.26|ladcca-ch-gec-1023.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::1A|ladcca-ch-gec-1023.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::1A|ladcca-ch-gec-1023.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.26"", ip6_addr = ""2600:6c7f:91c0:40:2::1A""
    vm_name = ""ladcca-ch-gec-1023""
  },","      ""47.3.3.26"","
ladcca,1,0,ch-gec,24,ladcca-ch-gec-1024,eth0,342,47.3.3.,27,27,2600:6c7f:91c0:40:2::,1B,POD 1 eCDN,,47.3.3.27,ladcca-ch-gec-1024.ladc.ca.charter.com,2600:6c7f:91c0:40:2::1B,ladcca-ch-gec-1024.ladc.ca.charter.com,"add|a|47.3.3.27|ladcca-ch-gec-1024.ladc.ca.charter.com|3600
add|ptr|47.3.3.27|ladcca-ch-gec-1024.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::1B|ladcca-ch-gec-1024.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::1B|ladcca-ch-gec-1024.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.27"", ip6_addr = ""2600:6c7f:91c0:40:2::1B""
    vm_name = ""ladcca-ch-gec-1024""
  },","      ""47.3.3.27"","
ladcca,1,0,ch-gec,25,ladcca-ch-gec-1025,eth0,342,47.3.3.,28,28,2600:6c7f:91c0:40:2::,1C,POD 1 eCDN,,47.3.3.28,ladcca-ch-gec-1025.ladc.ca.charter.com,2600:6c7f:91c0:40:2::1C,ladcca-ch-gec-1025.ladc.ca.charter.com,"add|a|47.3.3.28|ladcca-ch-gec-1025.ladc.ca.charter.com|3600
add|ptr|47.3.3.28|ladcca-ch-gec-1025.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::1C|ladcca-ch-gec-1025.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::1C|ladcca-ch-gec-1025.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.28"", ip6_addr = ""2600:6c7f:91c0:40:2::1C""
    vm_name = ""ladcca-ch-gec-1025""
  },","      ""47.3.3.28"","
ladcca,1,0,ch-gec,26,ladcca-ch-gec-1026,eth0,342,47.3.3.,29,29,2600:6c7f:91c0:40:2::,1D,POD 1 eCDN,,47.3.3.29,ladcca-ch-gec-1026.ladc.ca.charter.com,2600:6c7f:91c0:40:2::1D,ladcca-ch-gec-1026.ladc.ca.charter.com,"add|a|47.3.3.29|ladcca-ch-gec-1026.ladc.ca.charter.com|3600
add|ptr|47.3.3.29|ladcca-ch-gec-1026.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::1D|ladcca-ch-gec-1026.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::1D|ladcca-ch-gec-1026.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.29"", ip6_addr = ""2600:6c7f:91c0:40:2::1D""
    vm_name = ""ladcca-ch-gec-1026""
  },","      ""47.3.3.29"","
